0.000000	0.000898	0.002786	0.002823	0.003413	0.003949	0.004280	0.001143	0.005076
0.000500	-0.001168	0.000587	0.000622	0.001170	0.001514	0.001817	-0.000785	0.002867
0.001000	-0.000307	0.001341	0.001374	0.001735	0.001598	0.002037	-0.000103	0.003174
0.001500	-0.001206	0.000835	0.000713	0.001063	-0.000593	0.001053	-0.001162	0.001518
0.002000	-0.000816	0.000854	0.000588	0.001246	-0.000431	0.000960	-0.001070	0.001590
0.002500	-0.001703	-2.959810E-5	3.220939E-5	0.000522	-0.001498	0.000136	-0.001768	0.000630
0.003000	-8.296861E-5	0.001779	0.001679	0.002022	-0.000343	0.001546	-0.000283	0.002076
0.003500	0.000469	0.002683	0.002432	0.002799	0.000533	0.002534	0.000294	0.002950
0.004000	0.001736	0.004136	0.003435	0.004287	0.001911	0.003895	0.001730	0.004202
0.004500	-0.004015	-0.002048	-0.002092	-0.001868	-0.004243	-0.001952	-0.004176	-0.001436
0.005000	-0.001779	0.000240	0.000180	0.000591	-0.001514	0.000176	-0.002096	0.001014
0.005500	-0.001555	0.001122	0.000736	0.001007	-0.005186	-0.000655	-0.002945	-0.001375
0.006000	-0.003666	-0.000849	-0.001231	-0.001094	-0.009404	-0.003774	-0.005132	-0.004099
0.006500	-0.003486	-0.000543	-0.001079	-0.000920	-0.009534	-0.003472	-0.005038	-0.004068
0.007000	-0.003051	-0.000449	-0.000820	-0.000493	-0.008072	-0.002796	-0.004240	-0.002583
0.007500	-0.001930	0.000832	0.000457	0.000626	-0.006547	-0.001632	-0.003115	-0.001608
0.008000	-0.000483	0.001985	0.001604	0.002240	-0.001729	0.001225	-0.000761	0.001989
0.008500	-0.001333	0.000730	0.000652	0.001104	-0.000746	0.001054	-0.001399	0.001893
0.009000	-0.008594	-0.006270	-0.006528	-0.005936	-0.008009	-0.006349	-0.008768	-0.005414
0.009500	0.005011	0.007412	0.007137	0.007868	0.006555	0.008256	0.005507	0.008804
0.010000	-0.000246	0.001926	0.001953	0.002820	0.001373	0.002864	0.000140	0.003726
0.010500	-0.000751	0.001345	0.001345	0.002041	0.001067	0.002443	-0.000743	0.003148
0.011000	-0.000528	0.001474	0.001609	0.002157	0.001465	0.002485	-0.000371	0.003525
0.011500	0.000370	0.002260	0.002679	0.003406	0.005739	0.004494	0.001468	0.006773
